ChannelTitle=	Vol. Pulse	Blood Flow	ECG	
1.37	-1.76	-2.698	-34.3	
1.375	-1.77	-2.51	-11.2	
1.38	-1.77	-2.674	-4.1	
1.385	-1.78	-3.031	-7.2	
1.39	-1.78	-3.033	-3.8	
1.395	-1.79	-3.182	17	
1.4	-1.8	-3.675	13.3	
1.405	-1.81	-3.761	12.7	
1.41	-1.82	-3.57	26.1	
1.415	-1.83	-3.681	33.7	
1.42	-1.84	-3.621	37.9	
1.425	-1.85	-3.212	32.5	
1.43	-1.86	-3.115	51.5	
1.435	-1.86	-3.061	51.3	
1.44	-1.87	-2.382	61	
1.445	-1.87	-1.5	104.3	
1.45	-1.87	-0.458	99.8	
1.455	-1.85	1.544	100.6	
1.46	-1.83	4.157	121.3	
1.465	-1.8	6.51	119.2	
1.47	-1.75	8.923	138	
1.475	-1.69	11.488	159.5	
1.48	-1.62	13.412	165.6	
1.485	-1.54	14.851	169.7	
1.49	-1.46	16.345	157.3	
1.495	-1.37	17.309	149.4	
1.5	-1.27	17.466	149.6	
1.505	-1.18	17.512	135.8	
1.51	-1.09	17.352	124.3	
1.515	-1	16.509	118.1	
1.52	-0.91	15.61	93.8	
1.525	-0.83	14.918	75.7	
1.53	-0.76	13.765	63.4	
1.535	-0.69	12.361	47.4	
1.54	-0.63	11.262	23.6	
1.545	-0.57	9.93	-11.9	
1.55	-0.52	8.152	-21.6	
1.555	-0.48	6.643	-20.3	
1.56	-0.45	5.217	-40.9	
1.565	-0.43	3.344	-56.7	
1.57	-0.42	1.612	-56.3	
1.575	-0.41	0.306	-39.3	
1.58	-0.41	-1.184	-33.8	
1.585	-0.42	-2.623	-69.5	
1.59	-0.43	-3.434	-89.1	
1.595	-0.45	-4.204	-68.8	
1.6	-0.47	-5.168	-53.5	
1.605	-0.49	-5.578	-50.7	
1.61	-0.52	-5.626	-41.7	
1.615	-0.55	-5.889	-56.8	
1.62	-0.57	-5.793	-64.6	
1.625	-0.6	-5.183	-41.3	
1.63	-0.62	-4.864	-48.9	
1.635	-0.64	-4.735	-62.4	
1.64	-0.66	-4.285	-54.4	
1.645	-0.68	-4.025	-35.8	
1.65	-0.7	-4.167	-23.2	
1.655	-0.71	-4.031	-24.4	
1.66	-0.73	-3.791	-19.2	
1.665	-0.74	-4.041	-21.3	
1.67	-0.76	-4.257	-27.2	
1.675	-0.78	-4.136	-28.3	
1.68	-0.8	-4.296	-21.5	
1.685	-0.82	-4.527	-21.8	
1.69	-0.83	-4.248	-37.7	
1.695	-0.85	-4.004	-40.5	
1.7	-0.87	-4.032	-22.3	
1.705	-0.88	-3.627	-3.8	
1.71	-0.89	-2.973	-17.9	
1.715	-0.9	-2.67	-41.6	
1.72	-0.91	-2.237	-27.4	
1.725	-0.92	-1.476	-18.8	
1.73	-0.92	-1.074	-27	
1.735	-0.92	-0.856	-14.3	
1.74	-0.92	-0.268	-15.6	
1.745	-0.91	0.177	-34.2	
1.75	-0.91	0.212	-32	
1.755	-0.9	0.508	-19.6	
1.76	-0.9	0.919	-30.7	
1.765	-0.89	0.862	-34.3	
1.77	-0.88	0.854	-23.3	
1.775	-0.87	1.195	-34.6	
1.78	-0.86	1.243	-23.5	
1.785	-0.85	1.162	-20.9	
1.79	-0.84	1.468	-50.7	
1.795	-0.83	1.589	-50.8	
1.8	-0.82	1.339	-52.4	
1.805	-0.81	1.436	-49.6	
1.81	-0.79	1.666	-31.7	
1.815	-0.78	1.424	-28.6	
1.82	-0.77	1.227	-37.1	
1.825	-0.76	1.295	-42.4	
1.83	-0.75	0.936	-27.9	
1.835	-0.75	0.326	-21.3	
1.84	-0.74	0.032	-35.8	
1.845	-0.74	-0.439	-35.7	
1.85	-0.74	-1.281	-30.2	
1.855	-0.75	-1.744	-28.2	
1.86	-0.75	-1.944	-21	
1.865	-0.76	-2.434	-24	
1.87	-0.77	-2.724	-35.9	
1.875	-0.78	-2.641	-41.4	
1.88	-0.79	-2.879	-34.8	
1.885	-0.8	-3.227	-26.4	
1.89	-0.81	-3.106	-27.5	
1.895	-0.82	-3.054	-18.3	
1.9	-0.84	-3.326	-12.3	
1.905	-0.85	-3.256	-25.3	
1.91	-0.86	-3.019	-25.2	
1.915	-0.87	-3.196	-15.6	
1.92	-0.88	-3.304	-20.5	
1.925	-0.9	-3.154	-34	
1.93	-0.91	-3.413	-40.5	
1.935	-0.92	-3.834	-32.7	
1.94	-0.94	-3.808	-25.5	
1.945	-0.95	-3.873	-15.7	
1.95	-0.97	-4.266	11.6	
1.955	-0.98	-4.258	-21.9	
1.96	-1	-3.984	-56.8	
1.965	-1.02	-4.019	-25.3	
1.97	-1.03	-3.871	-20.7	
1.975	-1.05	-3.359	-14.1	
1.98	-1.06	-3.23	-5	
1.985	-1.07	-3.344	-18.2	
1.99	-1.08	-3.124	-19.9	
1.995	-1.09	-3.061	-9.3	
2	-1.1	-3.344	10.1	
2.005	-1.11	-3.238	-4.6	
2.01	-1.12	-2.922	-34.2	
2.015	-1.13	-3.005	-37.2	
2.02	-1.14	-2.985	-17.3	
2.025	-1.15	-2.657	-2.4	
2.03	-1.16	-2.699	-24	
2.035	-1.17	-2.879	-36.9	
2.04	-1.18	-2.606	-23.9	
2.045	-1.18	-2.413	-25.4	
2.05	-1.19	-2.576	-26.8	
2.055	-1.2	-2.433	-3.1	
2.06	-1.2	-2.146	10.2	
2.065	-1.21	-2.283	10.7	
2.07	-1.22	-2.314	18.9	
2.075	-1.22	-2	35.6	
2.08	-1.22	-2.043	39.8	
2.085	-1.23	-2.286	58.8	
2.09	-1.24	-2.152	67.8	
2.095	-1.24	-2.172	15.8	
2.1	-1.25	-2.553	-12.8	
2.105	-1.25	-2.552	5.5	
2.11	-1.26	-2.331	17	
2.115	-1.27	-2.462	-6.8	
2.12	-1.27	-2.45	-23.9	
2.125	-1.28	-2.092	-15.4	
2.13	-1.28	-2.081	-30.1	
2.135	-1.29	-2.286	-40.6	
2.14	-1.29	-2.157	-28.5	
2.145	-1.3	-2.196	-16.7	
2.15	-1.3	-2.589	-15	
