Time 	VolPulse	BloodFlow	ECG	
1.150	-1.400	-3.739	-17.700	
1.155	-1.410	-3.671	-26.700	
1.160	-1.420	-3.445	-12.800	
1.165	-1.430	-3.599	-2.800	
1.170	-1.440	-3.607	-18.200	
1.175	-1.450	-3.283	-20.700	
1.180	-1.460	-3.300	-34.700	
1.185	-1.470	-3.479	-49.000	
1.190	-1.480	-3.282	-37.600	
1.195	-1.490	-3.236	-12.700	
1.200	-1.500	-3.503	8.900	
1.205	-1.510	-3.356	-19.400	
1.210	-1.520	-3.024	-47.000	
1.215	-1.530	-3.103	15.300	
1.220	-1.540	-3.066	156.800	
1.225	-1.550	-2.724	381.500	
1.230	-1.550	-2.802	630.300	
1.235	-1.560	-3.094	735.900	
1.240	-1.570	-3.003	687.300	
1.245	-1.580	-3.056	548.800	
1.250	-1.590	-3.434	255.300	
1.255	-1.600	-3.386	-11.800	
1.260	-1.600	-3.113	-56.600	
1.265	-1.610	-3.214	-36.400	
1.270	-1.620	-3.138	-28.300	
1.275	-1.630	-2.692	-40.500	
1.280	-1.630	-2.594	-58.900	
1.285	-1.640	-2.673	-52.000	
1.290	-1.650	-2.406	-39.700	
1.295	-1.650	-2.358	-46.300	
1.300	-1.650	-2.771	-57.800	
1.305	-1.660	-2.900	-45.300	
1.310	-1.670	-2.876	-44.800	
1.315	-1.680	-3.253	-37.700	
1.320	-1.690	-3.514	-33.900	
1.325	-1.690	-3.422	-60.700	
1.330	-1.700	-3.594	-57.200	
1.335	-1.720	-3.777	-50.700	
1.340	-1.730	-3.372	-38.100	
1.345	-1.730	-2.986	-9.700	
1.350	-1.740	-2.962	-13.600	
1.355	-1.750	-2.671	-14.000	
1.360	-1.750	-2.348	-19.000	
1.365	-1.750	-2.557	-42.800	
1.370	-1.760	-2.698	-34.300	
1.375	-1.770	-2.510	-11.200	
1.380	-1.770	-2.674	-4.100	
1.385	-1.780	-3.031	-7.200	
1.390	-1.780	-3.033	-3.800	
1.395	-1.790	-3.182	17.000	
1.400	-1.800	-3.675	13.300	
1.405	-1.810	-3.761	12.700	
1.410	-1.820	-3.570	26.100	
1.415	-1.830	-3.681	33.700	
1.420	-1.840	-3.621	37.900	
1.425	-1.850	-3.212	32.500	
1.430	-1.860	-3.115	51.500	
1.435	-1.860	-3.061	51.300	
1.440	-1.870	-2.382	61.000	
1.445	-1.870	-1.500	104.300	
1.450	-1.870	-0.458	99.800	
1.455	-1.850	1.544	100.600	
1.460	-1.830	4.157	121.300	
1.465	-1.800	6.510	119.200	
1.470	-1.750	8.923	138.000	
1.475	-1.690	11.488	159.500	
1.480	-1.620	13.412	165.600	
1.485	-1.540	14.851	169.700	
1.490	-1.460	16.345	157.300	
1.495	-1.370	17.309	149.400	
1.500	-1.270	17.466	149.600	
1.505	-1.180	17.512	135.800	
1.510	-1.090	17.352	124.300	
1.515	-1.000	16.509	118.100	
1.520	-0.910	15.610	93.800	
1.525	-0.830	14.918	75.700	
1.530	-0.760	13.765	63.400	
1.535	-0.690	12.361	47.400	
1.540	-0.630	11.262	23.600	
1.545	-0.570	9.930	-11.900	
1.550	-0.520	8.152	-21.600	
1.555	-0.480	6.643	-20.300	
1.560	-0.450	5.217	-40.900	
1.565	-0.430	3.344	-56.700	
1.570	-0.420	1.612	-56.300	
1.575	-0.410	0.306	-39.300	
1.580	-0.410	-1.184	-33.800	
1.585	-0.420	-2.623	-69.500	
1.590	-0.430	-3.434	-89.100	
1.595	-0.450	-4.204	-68.800	
1.600	-0.470	-5.168	-53.500	
1.605	-0.490	-5.578	-50.700	
1.610	-0.520	-5.626	-41.700	
1.615	-0.550	-5.889	-56.800	
1.620	-0.570	-5.793	-64.600	
1.625	-0.600	-5.183	-41.300	
1.630	-0.620	-4.864	-48.900	
1.635	-0.640	-4.735	-62.400	
1.640	-0.660	-4.285	-54.400	
1.645	-0.680	-4.025	-35.800	
1.650	-0.700	-4.167	-23.200	
1.655	-0.710	-4.031	-24.400	
1.660	-0.730	-3.791	-19.200	
1.665	-0.740	-4.041	-21.300	
1.670	-0.760	-4.257	-27.200	
1.675	-0.780	-4.136	-28.300	
1.680	-0.800	-4.296	-21.500	
1.685	-0.820	-4.527	-21.800	
1.690	-0.830	-4.248	-37.700	
1.695	-0.850	-4.004	-40.500	
1.700	-0.870	-4.032	-22.300	
1.705	-0.880	-3.627	-3.800	
1.710	-0.890	-2.973	-17.900	
1.715	-0.900	-2.670	-41.600	
1.720	-0.910	-2.237	-27.400	
1.725	-0.920	-1.476	-18.800	
1.730	-0.920	-1.074	-27.000	
1.735	-0.920	-0.856	-14.300	
1.740	-0.920	-0.268	-15.600	
1.745	-0.910	0.177	-34.200	
1.750	-0.910	0.212	-32.000	
1.755	-0.900	0.508	-19.600	
1.760	-0.900	0.919	-30.700	
1.765	-0.890	0.862	-34.300	
1.770	-0.880	0.854	-23.300	
1.775	-0.870	1.195	-34.600	
1.780	-0.860	1.243	-23.500	
1.785	-0.850	1.162	-20.900	
1.790	-0.840	1.468	-50.700	
1.795	-0.830	1.589	-50.800	
1.800	-0.820	1.339	-52.400	
1.805	-0.810	1.436	-49.600	
1.810	-0.790	1.666	-31.700	
1.815	-0.780	1.424	-28.600	
1.820	-0.770	1.227	-37.100	
1.825	-0.760	1.295	-42.400	
1.830	-0.750	0.936	-27.900	
1.835	-0.750	0.326	-21.300	
1.840	-0.740	0.032	-35.800	
1.845	-0.740	-0.439	-35.700	
1.850	-0.740	-1.281	-30.200	
1.855	-0.750	-1.744	-28.200	
1.860	-0.750	-1.944	-21.000	
1.865	-0.760	-2.434	-24.000	
1.870	-0.770	-2.724	-35.900	
1.875	-0.780	-2.641	-41.400	
1.880	-0.790	-2.879	-34.800	
1.885	-0.800	-3.227	-26.400	
1.890	-0.810	-3.106	-27.500	
1.895	-0.820	-3.054	-18.300	
1.900	-0.840	-3.326	-12.300	
1.905	-0.850	-3.256	-25.300	
1.910	-0.860	-3.019	-25.200	
1.915	-0.870	-3.196	-15.600	
1.920	-0.880	-3.304	-20.500	
1.925	-0.900	-3.154	-34.000	
1.930	-0.910	-3.413	-40.500	
1.935	-0.920	-3.834	-32.700	
1.940	-0.940	-3.808	-25.500	
1.945	-0.950	-3.873	-15.700	
1.950	-0.970	-4.266	11.600	
1.955	-0.980	-4.258	-21.900	
1.960	-1.000	-3.984	-56.800	
1.965	-1.020	-4.019	-25.300	
1.970	-1.030	-3.871	-20.700	
1.975	-1.050	-3.359	-14.100	
1.980	-1.060	-3.230	-5.000	
1.985	-1.070	-3.344	-18.200	
1.990	-1.080	-3.124	-19.900	
1.995	-1.090	-3.061	-9.300	
2.000	-1.100	-3.344	10.100	
2.005	-1.110	-3.238	-4.600	
2.010	-1.120	-2.922	-34.200	
2.015	-1.130	-3.005	-37.200	
2.020	-1.140	-2.985	-17.300	
2.025	-1.150	-2.657	-2.400	
2.030	-1.160	-2.699	-24.000	
2.035	-1.170	-2.879	-36.900	
2.040	-1.180	-2.606	-23.900	
2.045	-1.180	-2.413	-25.400	
2.050	-1.190	-2.576	-26.800	
2.055	-1.200	-2.433	-3.100	
2.060	-1.200	-2.146	10.200	
2.065	-1.210	-2.283	10.700	
2.070	-1.220	-2.314	18.900	
2.075	-1.220	-2.000	35.600	
2.080	-1.220	-2.043	39.800	
2.085	-1.230	-2.286	58.800	
2.090	-1.240	-2.152	67.800	
2.095	-1.240	-2.172	15.800	
2.100	-1.250	-2.553	-12.800	
2.105	-1.250	-2.552	5.500	
2.110	-1.260	-2.331	17.000	
2.115	-1.270	-2.462	-6.800	
2.120	-1.270	-2.450	-23.900	
2.125	-1.280	-2.092	-15.400	
2.130	-1.280	-2.081	-30.100	
2.135	-1.290	-2.286	-40.600	
2.140	-1.290	-2.157	-28.500	
2.145	-1.300	-2.196	-16.700	
2.150	-1.300	-2.589	-15.000	
2.155	-1.310	-2.594	-30.800	
2.160	-1.320	-2.381	-35.600	
2.165	-1.320	-2.544	-21.100	
2.170	-1.330	-2.571	-6.300	
2.175	-1.340	-2.238	-1.000	
2.180	-1.340	-2.252	-14.800	
2.185	-1.350	-2.421	-29.200	
2.190	-1.350	-2.145	-21.800	
2.195	-1.360	-1.985	-25.300	
2.200	-1.360	-2.184	-37.800	
2.205	-1.370	-2.086	-6.800	
2.210	-1.370	-1.922	70.600	
2.215	-1.370	-2.208	199.800	
2.220	-1.380	-2.324	426.500	
2.225	-1.380	-2.043	621.300	
2.230	-1.390	-2.098	641.400	
2.235	-1.390	-2.344	534.600	
2.240	-1.400	-2.226	315.200	
2.245	-1.400	-2.252	40.900	
2.250	-1.410	-2.613	-88.400	
2.255	-1.410	-2.606	-62.600	
2.260	-1.420	-2.422	-22.600	
2.265	-1.430	-2.604	-23.200	
2.270	-1.430	-2.639	-34.700	
2.275	-1.440	-2.339	-26.800	
2.280	-1.440	-2.416	-16.900	
2.285	-1.450	-2.695	-28.200	
2.290	-1.460	-2.589	-47.000	
2.295	-1.460	-2.584	-51.200	
2.300	-1.470	-2.874	-51.100	
2.305	-1.480	-2.776	-38.100	
2.310	-1.480	-2.479	-29.400	
2.315	-1.490	-2.598	-29.400	
2.320	-1.500	-2.675	-30.500	
2.325	-1.500	-2.482	-22.400	
2.330	-1.510	-2.639	-6.500	
2.335	-1.510	-2.908	7.000	
2.340	-1.520	-2.734	4.400	
2.345	-1.530	-2.672	-13.700	
2.350	-1.530	-2.958	-12.000	
2.355	-1.540	-2.891	-0.900	
2.360	-1.550	-2.628	10.600	
2.365	-1.550	-2.726	18.900	
2.370	-1.560	-2.679	16.100	
2.375	-1.570	-2.336	22.200	
2.380	-1.570	-2.433	25.500	
2.385	-1.580	-2.752	13.100	
2.390	-1.580	-2.707	10.300	
2.395	-1.590	-2.806	20.800	
2.400	-1.600	-3.198	19.400	
2.405	-1.610	-3.128	22.500	
2.410	-1.610	-2.780	51.500	
2.415	-1.620	-2.758	73.100	
2.420	-1.630	-2.549	78.700	
2.425	-1.630	-1.989	96.900	
2.430	-1.630	-1.882	88.900	
2.435	-1.630	-2.082	71.400	
2.440	-1.640	-1.973	102.900	
2.445	-1.640	-1.998	137.900	
2.450	-1.640	-2.231	152.200	
2.455	-1.650	-1.755	164.400	
2.460	-1.640	-0.558	162.400	
2.465	-1.640	0.819	162.900	
2.470	-1.620	2.752	186.800	
2.475	-1.590	5.216	206.300	
2.480	-1.550	7.287	203.800	
2.485	-1.510	9.033	190.300	
2.490	-1.450	10.958	181.600	
2.495	-1.380	12.443	176.000	
2.500	-1.310	13.179	164.300	
2.505	-1.240	13.881	140.600	
2.510	-1.160	14.406	111.300	
2.515	-1.090	14.233	91.400	
2.520	-1.010	13.953	69.200	
2.525	-0.940	13.776	34.800	
2.530	-0.870	13.038	18.800	
2.535	-0.800	11.956	-2.700	
2.540	-0.740	11.107	-15.300	
2.545	-0.680	9.989	4.600	
2.550	-0.630	8.418	-33.800	
2.555	-0.590	7.151	-85.700	
