Interval=	0.005 s
ExcelDateTime=	4.4476799837398881e+004	10/7/2021 19:11:45.951264
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Vol. Pulse	Blood Flow	ECG
Range=	20.00 mV.s	200.0 mV	500.0 µV
1.415	-1.25	-1.5	223.2
1.42	-1.25	-1.2	253.5
1.425	-1.25	-1.2	81.8
1.43	-1.26	-1.7	-24.1
1.435	-1.26	-2.0	-1.7
1.44	-1.26	-1.9	-184.1
1.445	-1.27	-1.7	-439.9
1.45	-1.27	-1.5	-422.9
1.455	-1.27	-1.1	-221.8
1.46	-1.27	-0.9	-103.8
1.465	-1.27	-0.9	-94.9
1.47	-1.27	-0.8	-68.6
1.475	-1.26	-0.7	-24.8
1.48	-1.26	-0.9	-35.4
1.485	-1.26	-1.1	-23.3
1.49	-1.26	-1.1	14.4
1.495	-1.26	-1.2	-0.2
1.5	-1.26	-1.5	-12.2
1.505	-1.26	-1.6	18.6
1.51	-1.27	-1.8	20.3
1.515	-1.27	-1.9	-9.7
1.52	-1.27	-1.8	13.1
1.525	-1.28	-1.6	36.8
1.53	-1.28	-1.6	7.0
1.535	-1.28	-1.6	3.4
1.54	-1.28	-1.5	29.1
1.545	-1.29	-1.7	19.0
1.55	-1.29	-2.1	9.3
1.555	-1.29	-2.3	35.9
1.56	-1.30	-2.4	31.7
1.565	-1.31	-2.5	6.7
1.57	-1.31	-2.4	25.3
1.575	-1.32	-2.1	42.5
1.58	-1.32	-2.2	19.8
1.585	-1.33	-2.3	17.3
1.59	-1.33	-2.2	46.1
1.595	-1.34	-2.2	38.1
1.6	-1.34	-2.4	27.5
1.605	-1.35	-2.6	52.0
1.61	-1.36	-2.6	53.3
1.615	-1.36	-2.4	30.5
1.62	-1.37	-1.9	46.0
1.625	-1.37	-1.4	71.9
1.63	-1.37	-1.1	50.5
1.635	-1.37	-0.7	45.9
1.64	-1.36	0.1	80.7
1.645	-1.36	1.2	67.4
1.65	-1.34	2.9	41.5
1.655	-1.31	5.4	65.5
1.66	-1.27	8.2	60.7
1.665	-1.22	11.1	29.7
1.67	-1.15	14.1	43.5
1.675	-1.07	17.1	48.9
1.68	-0.97	19.3	12.7
1.685	-0.87	20.6	0.6
1.69	-0.76	21.2	9.6
1.695	-0.65	21.0	-17.2
1.7	-0.54	20.1	-50.5
1.705	-0.44	19.1	-31.5
1.71	-0.35	17.8	-22.3
1.715	-0.26	16.1	-50.3
1.72	-0.19	14.3	-46.9
1.725	-0.12	12.1	-36.7
1.73	-0.06	9.3	-59.8
1.735	-0.03	6.6	-61.8
1.74	0.00	4.2	-40.4
1.745	0.02	2.0	-57.7
1.75	0.02	-0.0	-71.3
1.755	0.02	-1.4	-39.8
1.76	0.01	-2.5	-42.1
1.765	-0.01	-3.6	-78.5
1.77	-0.03	-4.5	-66.2
1.775	-0.05	-5.5	-48.2
1.78	-0.08	-6.7	-71.9
1.785	-0.12	-7.8	-69.6
1.79	-0.16	-8.4	-43.6
1.795	-0.20	-8.6	-58.3
1.8	-0.24	-8.6	-78.0
1.805	-0.28	-8.3	-58.9
1.81	-0.32	-8.2	-56.4
1.815	-0.36	-8.2	-78.3
1.82	-0.40	-8.0	-66.6
1.825	-0.44	-7.7	-48.9
1.83	-0.48	-7.7	-62.5
1.835	-0.51	-7.8	-67.4
1.84	-0.55	-7.8	-48.0
1.845	-0.58	-7.9	-60.8
1.85	-0.62	-8.1	-74.5
1.855	-0.66	-8.3	-48.3
1.86	-0.70	-8.7	-55.4
1.865	-0.74	-9.2	-79.0
1.87	-0.78	-9.4	-64.7
1.875	-0.83	-9.5	-53.5
1.88	-0.87	-9.7	-72.4
1.885	-0.92	-9.5	-72.9
1.89	-0.96	-8.8	-55.4
1.895	-1.00	-8.1	-68.5
1.9	-1.03	-7.3	-78.8
1.905	-1.06	-6.5	-61.9
1.91	-1.08	-5.7	-62.1
1.915	-1.11	-5.0	-82.3
1.92	-1.12	-4.0	-78.8
1.925	-1.14	-3.1	-60.6
1.93	-1.14	-2.6	-71.3
1.935	-1.15	-2.2	-79.6
1.94	-1.16	-1.5	-62.9
1.945	-1.16	-0.9	-64.1
1.95	-1.15	-0.6	-73.3
1.955	-1.15	-0.3	-71.3
1.96	-1.15	-0.2	-79.6
1.965	-1.14	-0.4	-92.8
1.97	-1.14	-0.5	-84.3
1.975	-1.14	-0.4	-74.7
1.98	-1.13	-0.5	-93.1
1.985	-1.13	-0.3	-100.8
1.99	-1.13	0.2	-81.8
1.995	-1.12	0.4	-89.5
2	-1.11	0.4	-103.9
2.005	-1.10	0.4	-84.8
2.01	-1.10	0.0	-81.3
2.015	-1.09	-0.6	-106.6
2.02	-1.09	-1.1	-83.8
2.025	-1.10	-1.5	-43.8
2.03	-1.10	-1.9	-64.1
